snippet,keywords,news_desk,headline,pub_date,negative,positive,sentiment_score
"The election of Santiago Peña keeps the right-wing Colorado Party in control of Paraguay, which it has run for all but five of the past 76 years.","[{'name': 'persons', 'value': 'Pena, Santiago', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Paraguay', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Colorado Party (Paraguay)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Abdo Benitez, Mario', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Alegre, Efrain', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Cartes, Horacio', 'rank': 8, 'major': 'N'}]",Foreign,"{'main': 'Paraguay Voters Elect Conservative Economist as President', 'kicker': None, 'content_kicker': None, 'print_headline': 'Paraguay Keeps a Right-Wing Party in Power', 'name': None, 'seo': None, 'sub': None}",2023-05-01T00:50:51+0000,0.0003078698646277189,0.9996922016143799,0.9993843317497522
"A new series about the woman who hid Anne Frank and her family premieres on National Geographic, and E! streams “the party of the year.”","[{'name': 'subject', 'value': 'Television', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 2, 'major': 'N'}]",Culture,"{'main': 'What’s on TV This Week: ‘A Small Light’ and the Met Gala', 'kicker': None, 'content_kicker': None, 'print_headline': 'This Week on TV', 'name': None, 'seo': None, 'sub': None}",2023-05-01T05:00:07+0000,0.003091349033638835,0.9969086050987244,0.9938172560650855
"In Arizona, where independents are a crucial voting bloc, there might not be the same sense of urgency for a Biden-Trump rematch. And some voters might look elsewhere.","[{'name': 'subject', 'value': 'Presidential Election of 2024', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Arizona', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Voting and Voters', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Third-Party Politics (US)', 'rank': 7, 'major': 'N'}]",Politics,"{'main': 'Independents Saw Urgency in Ousting Trump. Will They Feel the Same About Re-electing Biden?', 'kicker': None, 'content_kicker': None, 'print_headline': 'These Voters May Hold the Key to a Biden Re-election', 'name': None, 'seo': None, 'sub': None}",2023-05-01T07:00:11+0000,0.9984508752822876,0.0015490767545998096,-0.9969017985276878
"In January, Iran executed a former senior official who provided Britain with valuable intelligence on Iranian nuclear and military programs over a decade, according to Western intelligence officials.","[{'name': 'subject', 'value': 'Espionage and Intelligence Services', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Assassinations and Attempted Assassinations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Classified Information and State Secrets', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Nuclear Weapons', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'British Secret Intelligence Service', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Akbari, Alireza', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Great Britain', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'internal-sub-only', 'rank': 10, 'major': 'N'}]",Foreign,"{'main': 'Iranian Insider and British Spy: How a Double Life Ended on the Gallows', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Double Life Of Britain’s Spy in Iran’s Regime', 'name': None, 'seo': None, 'sub': None}",2023-05-01T07:11:18+0000,0.9094449877738953,0.09055495262145996,-0.8188900351524353
First Republic is the second-largest bank by assets to fail in U.S. history. Here are some answers to questions you may have about what comes next for the bank and for depositors’ money.,"[{'name': 'subject', 'value': 'Regulation and Deregulation of Industry', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Banking and Financial Institutions', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Names, Organizational', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Insurance', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Mortgages', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Stocks and Bonds', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'First Republic Bank', 'rank': 7, 'major': 'N'}]",Business,"{'main': 'First Republic Is Sold: What to Know', 'kicker': None, 'content_kicker': None, 'print_headline': 'What to Know About the Forced Sale of First Republic ', 'name': None, 'seo': None, 'sub': None}",2023-05-01T08:48:58+0000,0.9818277955055237,0.018172182142734528,-0.9636556133627892
"On the heels of his elaborate new rock opera, the Smashing Pumpkins leader reflects on heroes like Ruby Keeler and John Fogerty, and his everyday inspirations.","[{'name': 'subject', 'value': 'Pop and Rock Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Smashing Pumpkins (Music Group)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Corgan, Billy', 'rank': 4, 'major': 'N'}]",Arts&Leisure,"{'main': 'Billy Corgan Loves an Old-Fashioned American Story', 'kicker': 'My Ten', 'content_kicker': None, 'print_headline': 'Billy Corgan Loves Art Deco and Synths', 'name': None, 'seo': None, 'sub': None}",2023-05-01T09:00:09+0000,0.0011598913697525859,0.9988401532173157,0.9976802618475631
"For decades, “By Myself,” the cellist’s defining statement made in 1977, was out of print. Before his 2022 death, he finalized plans for its first-ever re-pressing.","[{'name': 'subject', 'value': 'Cellos', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Jazz', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Wadud, Abdul', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'By Myself (Album)', 'rank': 5, 'major': 'N'}]",Culture,"{'main': 'Abdul Wadud’s Cosmic Cello Music Gets Another Moment in the Sun', 'kicker': None, 'content_kicker': None, 'print_headline': 'Into the Stratosphere On a Bold Solo Flight', 'name': None, 'seo': None, 'sub': None}",2023-05-01T09:00:16+0000,0.3036893904209137,0.6963105797767639,0.3926211893558502
What the Arizona senator’s breakup with the Democrats means for American politics.,"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Law and Legislation', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Sinema, Kyrsten', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Democratic Party', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Arizona', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Third-Party Politics (US)', 'rank': 9, 'major': 'N'}]",Magazine,"{'main': 'Kyrsten Sinema’s Party of One', 'kicker': None, 'content_kicker': None, 'print_headline': 'Kyrsten Sinema’s Last Stand', 'name': None, 'seo': None, 'sub': None}",2023-05-01T09:00:21+0000,0.008237707428634167,0.9917622804641724,0.9835245730355382
"For half a century, Geoffrey Hinton nurtured the technology at the heart of chatbots like ChatGPT. Now he worries it will cause serious harm.","[{'name': 'subject', 'value': 'Artificial Intelligence', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Computers and the Internet', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ChatGPT', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Search Engines', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Alphabet Inc', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Google Inc', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Hinton, Geoffrey E', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'OpenAI Labs', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'internal-sub-only', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-informative', 'rank': 12, 'major': 'N'}, {'name': 'subject', 'value': 'audio-neutral-immersive', 'rank': 13, 'major': 'N'}]",Business,"{'main': '‘The Godfather of A.I.’ Leaves Google and Warns of Danger Ahead', 'kicker': None, 'content_kicker': None, 'print_headline': 'He Warns of Risks From A.I. He Helped Create', 'name': None, 'seo': None, 'sub': None}",2023-05-01T09:00:21+0000,0.9990659356117249,0.0009341096156276762,-0.9981318259960972
"In an age of burnout, artists are discovering that one of the most radical forms of resistance is rest.","[{'name': 'subject', 'value': 'Performance Art', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Sleep', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Acosta, Navild', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Sosa, Fannie', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Museum of Modern Art', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 7, 'major': 'N'}, {'name': 'creative_works', 'value': 'Black Power Naps (Exhibit)', 'rank': 8, 'major': 'N'}]",TStyle,"{'main': 'When Sleep Becomes an Art Form', 'kicker': 'Notes on the Culture', 'content_kicker': None, 'print_headline': 'Let It Lie', 'name': None, 'seo': None, 'sub': None}",2023-05-01T09:00:23+0000,0.019345320761203766,0.9806546568870544,0.9613093361258507
