snippet,keywords,news_desk,headline,pub_date,negative,positive,sentiment_score
"A proposal for a corn mill, which had been welcomed as an economic development success, reflects just how much things have changed with Chinese investment proposals in the U.S.","[{'name': 'subject', 'value': 'Economic Conditions and Trends', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Defense and Military Forces', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Corn', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Committee on Foreign Investment in the United States (CFIUS)', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Fufeng USA Inc', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'United States Air Force', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Burgum, Douglas', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Hoeven, John', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Grand Forks (ND)', 'rank': 11, 'major': 'N'}]",National,"{'main': 'Air Force Says Proposed Chinese-Owned Mill in North Dakota Is ‘Significant Threat’', 'kicker': None, 'content_kicker': None, 'print_headline': 'Air Force Pushes Back Over Planned Chinese Mill in North Dakota', 'name': None, 'seo': None, 'sub': None}",2023-02-01T00:18:51+0000,0.8604019284248352,0.1395980566740036,-0.7208038717508316
"The decision to charge the men, considered to be ringleaders in the assassination plot, in the United States is an indication of the chronic dysfunction of the Haitian justice system.","[{'name': 'subject', 'value': 'Assassinations and Attempted Assassinations', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Murders, Attempted Murders and Homicides', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Moise, Jovenel (1968- )', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Solages, James (1985- )', 'rank': 7, 'major': 'N'}]",Washington,"{'main': 'U.S. Charges Four in Connection With the Assassination of Haiti’s President', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Charges Four in the 2021 Assassination of Haiti’s President', 'name': None, 'seo': None, 'sub': None}",2023-02-01T00:20:31+0000,0.9977414608001709,0.0022585424594581127,-0.9954829183407128
The steel sculpture by Hank Willis Thomas features a football and will be displayed outside State Farm Stadium on Feb. 12.,"[{'name': 'subject', 'value': 'Super Bowl', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Sculpture', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Thomas, Hank Willis', 'rank': 4, 'major': 'N'}]",Culture,"{'main': 'Creator of Divisive King\xa0Monument Builds Sculpture for Super Bowl', 'kicker': None, 'content_kicker': None, 'print_headline': 'Creator of King Monument Adds Sculpture for Super Bowl', 'name': None, 'seo': None, 'sub': None}",2023-02-01T00:35:23+0000,0.0019073861185461283,0.9980925917625427,0.9961852056439966
"A proposal by Gov. Ron DeSantis of Florida to overhaul higher education would mandate courses in Western civilization, eliminate diversity programs and reduce the protections of tenure.","[{'name': 'glocations', 'value': 'Florida', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'DeSantis, Ron', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Conservatism (US Politics)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Colleges and Universities', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'New College of Florida', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Boards of Directors', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Appointments and Executive Changes', 'rank': 8, 'major': 'N'}]",National,"{'main': 'DeSantis Takes On the Education Establishment, and Builds His Brand', 'kicker': None, 'content_kicker': None, 'print_headline': 'DeSantis Takes On Florida’s Education Establishment, and Builds His Brand', 'name': None, 'seo': None, 'sub': None}",2023-02-01T00:55:49+0000,0.9751087427139282,0.024891214445233345,-0.9502175282686949
"The battle in the eastern Ukraine city of Bakhmut is growing in importance, as both sides pour forces into the battle.","[{'name': 'subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Defense and Military Forces', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Bakhmut (Ukraine)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Donbas (Ukraine)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Ukraine', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Russia', 'rank': 6, 'major': 'N'}]",Foreign,"{'main': 'Seeing a Prize, Russia Inundates a Ukraine City With Troops', 'kicker': None, 'content_kicker': None, 'print_headline': 'Seeking Prize in East, Russia Floods a Ukrainian City With Troops', 'name': None, 'seo': None, 'sub': None}",2023-02-01T01:15:08+0000,0.0002097410470014438,0.9997902512550354,0.999580510208034
"Four officers charged in Tyre Nichols’s death had been disciplined previously, including two who had failed to report using force during arrests.","[{'name': 'subject', 'value': 'Police Brutality, Misconduct and Shootings', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Police', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Memphis (Tenn)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Haley, Demetrius (Memphis, Tenn, Police Officer)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Martin, Emmitt III (Memphis, Tenn, Police Officer)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Mills, Desmond Jr (Memphis, Tenn, Police Officer)', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Smith, Justin (Memphis, Tenn, Police Officer)', 'rank': 7, 'major': 'N'}]",National,"{'main': 'Memphis Officers Had Been Reprimanded After Using Force', 'kicker': None, 'content_kicker': None, 'print_headline': '2 of Officers Accused of Killing Nichols Had Been Reprimanded After Using Force', 'name': None, 'seo': None, 'sub': None}",2023-02-01T01:27:15+0000,0.9795687794685364,0.02043122611939907,-0.9591375533491373
The House debated for hours on Tuesday before voting for measures that would end a public health emergency and a vaccine mandate for some health care workers.,"[{'name': 'subject', 'value': 'United States Politics and Government', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Vaccination and Immunization', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Executive Orders and Memorandums', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus Risks and Safety Concerns', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Centers for Disease Control and Prevention', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 7, 'major': 'N'}]",Washington,"{'main': 'Republicans Assail Vaccine and Mandates With Misleading Claims', 'kicker': 'Fact Check', 'content_kicker': None, 'print_headline': 'G.O.P. Representatives Spread Covid Distortions', 'name': None, 'seo': None, 'sub': None}",2023-02-01T01:59:12+0000,0.9688720107078552,0.031128037720918655,-0.9377439729869366
"Angry protests over a plan to raise France’s retirement age pile uncertainty on small businesses, but most are siding with the demonstrators.","[{'name': 'glocations', 'value': 'France', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Pensions and Retirement Plans', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Strikes', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'High Net Worth Individuals', 'rank': 6, 'major': 'N'}, {'name': 'organizations', 'value': 'LVMH Moet Hennessy Louis Vuitton SA', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'ARNAULT, BERNARD', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Macron, Emmanuel (1977- )', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'Paris (France)', 'rank': 10, 'major': 'N'}]",Business,"{'main': 'As Parisians March to Fight Pension Changes, Shopkeepers Nod and Agree', 'kicker': None, 'content_kicker': None, 'print_headline': 'French Shopkeepers Are Siding With Pension Protesters', 'name': None, 'seo': None, 'sub': None}",2023-02-01T05:00:11+0000,0.8633007407188416,0.13669927418231964,-0.7266014665365219
New developments that integrate senior housing into age-diverse apartment buildings offer a more affordable alternative to isolated suburban retirement communities.,"[{'name': 'subject', 'value': 'Retirement', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement Communities and Assisted Living', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Longevity', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate and Housing (Residential)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Area Planning and Renewal', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Real Estate (Commercial)', 'rank': 6, 'major': 'N'}]",Business,"{'main': 'The Next Retirement Communities Won’t Be Just for Seniors', 'kicker': 'Square Feet', 'content_kicker': None, 'print_headline': 'Taking On a Senior Living Reset', 'name': None, 'seo': None, 'sub': None}",2023-02-01T08:00:05+0000,0.0018338409718126059,0.9981661438941956,0.996332302922383
A top research group is urging even women without genetic risks to have their fallopian tubes removed under certain circumstances.,"[{'name': 'subject', 'value': 'your-feed-science', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ovarian Cancer', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Women and Girls', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Genetics and Heredity', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Research', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Cancer', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Surgery and Surgeons', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Preventive Medicine', 'rank': 8, 'major': 'N'}]",Science,"{'main': 'To Prevent Cancer, More Women Should Consider Removing Fallopian Tubes, Experts Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'To Prevent Ovarian Cancer, More Women Are Advised to Remove Fallopian Tubes', 'name': None, 'seo': None, 'sub': None}",2023-02-01T08:00:10+0000,0.28801122307777405,0.7119888067245483,0.4239775836467743
